,Result,Confidance of being Cracked
100,Negative (Not Crack),0.147425
101,Negative (Not Crack),0.067529
102,Negative (Not Crack),0.039549
103,Negative (Not Crack),0.031812
104,Negative (Not Crack),0.031474
105,Negative (Not Crack),0.235057
106,Negative (Not Crack),0.048195
107,Negative (Not Crack),0.038949
108,Negative (Not Crack),0.074718
109,Negative (Not Crack),0.073422
110,Negative (Not Crack),0.053108
111,Negative (Not Crack),0.098127
112,Negative (Not Crack),0.289609
113,Negative (Not Crack),0.080382
114,Negative (Not Crack),0.068004
115,Negative (Not Crack),0.048664
116,Negative (Not Crack),0.068997
117,Negative (Not Crack),0.091374
118,Negative (Not Crack),0.067142
119,Negative (Not Crack),0.106153
120,Negative (Not Crack),0.035829
121,Negative (Not Crack),0.048441
122,Negative (Not Crack),0.065469
123,Negative (Not Crack),0.075503
124,Negative (Not Crack),0.040808
125,Negative (Not Crack),0.073369
126,Negative (Not Crack),0.048588
127,Negative (Not Crack),0.057333
128,Negative (Not Crack),0.052156
129,Negative (Not Crack),0.034688
130,Negative (Not Crack),0.056519
131,Negative (Not Crack),0.031117
132,Negative (Not Crack),0.045788
133,Negative (Not Crack),0.039615
134,Negative (Not Crack),0.034308
135,Negative (Not Crack),0.065887
136,Negative (Not Crack),0.138864
137,Negative (Not Crack),0.050817
138,Negative (Not Crack),0.045979
139,Negative (Not Crack),0.047526
140,Negative (Not Crack),0.033833
141,Negative (Not Crack),0.047472
142,Negative (Not Crack),0.156967
143,Negative (Not Crack),0.173909
144,Negative (Not Crack),0.040382
145,Negative (Not Crack),0.054493
146,Negative (Not Crack),0.041154
147,Negative (Not Crack),0.045716
148,Negative (Not Crack),0.062585
149,Negative (Not Crack),0.1185
150,Negative (Not Crack),0.049513
151,Negative (Not Crack),0.054827
152,Negative (Not Crack),0.053501
153,Negative (Not Crack),0.083732
154,Negative (Not Crack),0.048693
155,Negative (Not Crack),0.045365
156,Negative (Not Crack),0.052528
157,Negative (Not Crack),0.051022
158,Negative (Not Crack),0.030418
159,Negative (Not Crack),0.149192
160,Negative (Not Crack),0.328339
161,Negative (Not Crack),0.056285
162,Negative (Not Crack),0.055638
163,Negative (Not Crack),0.063373
164,Negative (Not Crack),0.075075
165,Negative (Not Crack),0.039975
166,Negative (Not Crack),0.033439
167,Negative (Not Crack),0.089551
168,Negative (Not Crack),0.070207
169,Negative (Not Crack),0.057335
170,Negative (Not Crack),0.052978
171,Negative (Not Crack),0.10949
172,Negative (Not Crack),0.258022
173,Negative (Not Crack),0.070176
174,Negative (Not Crack),0.060126
175,Negative (Not Crack),0.066781
176,Negative (Not Crack),0.055669
177,Negative (Not Crack),0.074524
178,Negative (Not Crack),0.041563
179,Negative (Not Crack),0.461989
180,Negative (Not Crack),0.034643
181,Negative (Not Crack),0.058626
182,Negative (Not Crack),0.076633
183,Negative (Not Crack),0.052167
184,Negative (Not Crack),0.042714
185,Negative (Not Crack),0.05242
186,Negative (Not Crack),0.044934
187,Negative (Not Crack),0.078035
188,Negative (Not Crack),0.089721
189,Negative (Not Crack),0.055331
190,Negative (Not Crack),0.117797
191,Negative (Not Crack),0.042013
192,Negative (Not Crack),0.046206
193,Negative (Not Crack),0.035523
194,Negative (Not Crack),0.0469
195,Negative (Not Crack),0.04798
196,Negative (Not Crack),0.05329
197,Negative (Not Crack),0.041072
198,Negative (Not Crack),0.035031
199,Negative (Not Crack),0.04858
200,Negative (Not Crack),0.041002
201,Negative (Not Crack),0.035088
202,Negative (Not Crack),0.056998
203,Negative (Not Crack),0.031983
204,Negative (Not Crack),0.043651
205,Negative (Not Crack),0.086982
206,Negative (Not Crack),0.223838
207,Negative (Not Crack),0.055389
208,Negative (Not Crack),0.040575
209,Negative (Not Crack),0.060608
210,Negative (Not Crack),0.057101
211,Negative (Not Crack),0.029498
212,Negative (Not Crack),0.067439
213,Negative (Not Crack),0.043718
214,Negative (Not Crack),0.038422
215,Negative (Not Crack),0.07254
216,Negative (Not Crack),0.033306
217,Negative (Not Crack),0.117164
218,Negative (Not Crack),0.234603
219,Negative (Not Crack),0.036107
220,Negative (Not Crack),0.038134
221,Negative (Not Crack),0.038488
222,Negative (Not Crack),0.055953
223,Negative (Not Crack),0.237609
224,Negative (Not Crack),0.049381
225,Negative (Not Crack),0.03101
226,Negative (Not Crack),0.058304
227,Negative (Not Crack),0.049097
228,Negative (Not Crack),0.156009
229,Negative (Not Crack),0.063012
230,Negative (Not Crack),0.079476
231,Negative (Not Crack),0.030172
232,Negative (Not Crack),0.051415
233,Negative (Not Crack),0.029778
234,Negative (Not Crack),0.050486
235,Negative (Not Crack),0.039069
236,Negative (Not Crack),0.051913
237,Negative (Not Crack),0.062822
238,Negative (Not Crack),0.04403
239,Negative (Not Crack),0.123995
240,Negative (Not Crack),0.043277
241,Negative (Not Crack),0.177294
242,Negative (Not Crack),0.088622
243,Negative (Not Crack),0.038955
244,Negative (Not Crack),0.109626
245,Negative (Not Crack),0.051655
246,Negative (Not Crack),0.036921
247,Negative (Not Crack),0.048727
248,Negative (Not Crack),0.046209
249,Negative (Not Crack),0.048029
250,Negative (Not Crack),0.160832
251,Negative (Not Crack),0.03661
252,Negative (Not Crack),0.088886
253,Negative (Not Crack),0.036706
254,Negative (Not Crack),0.225905
255,Negative (Not Crack),0.036704
256,Negative (Not Crack),0.073014
257,Negative (Not Crack),0.085215
258,Negative (Not Crack),0.055412
259,Negative (Not Crack),0.100888
260,Negative (Not Crack),0.062014
261,Negative (Not Crack),0.085061
262,Negative (Not Crack),0.165415
263,Negative (Not Crack),0.066168
264,Negative (Not Crack),0.049333
265,Negative (Not Crack),0.036528
266,Negative (Not Crack),0.049569
267,Negative (Not Crack),0.106347
268,Negative (Not Crack),0.10182
269,Negative (Not Crack),0.049043
270,Negative (Not Crack),0.149192
271,Negative (Not Crack),0.036746
272,Negative (Not Crack),0.04903
273,Negative (Not Crack),0.065606
274,Negative (Not Crack),0.046153
275,Negative (Not Crack),0.041208
276,Negative (Not Crack),0.067886
277,Negative (Not Crack),0.050665
278,Negative (Not Crack),0.140101
279,Negative (Not Crack),0.035828
280,Negative (Not Crack),0.045332
281,Negative (Not Crack),0.070925
282,Negative (Not Crack),0.141771
283,Negative (Not Crack),0.048637
284,Negative (Not Crack),0.28154
285,Positive(Crack) ,0.518106
286,Negative (Not Crack),0.036196
287,Negative (Not Crack),0.050915
288,Negative (Not Crack),0.047665
289,Negative (Not Crack),0.126929
290,Negative (Not Crack),0.105615
291,Negative (Not Crack),0.027755
292,Negative (Not Crack),0.057723
293,Negative (Not Crack),0.042567
294,Negative (Not Crack),0.030168
295,Negative (Not Crack),0.058551
296,Negative (Not Crack),0.043072
297,Negative (Not Crack),0.05867
298,Negative (Not Crack),0.066703
299,Negative (Not Crack),0.139411
300,Negative (Not Crack),0.055343
301,Negative (Not Crack),0.059954
302,Negative (Not Crack),0.04687
303,Negative (Not Crack),0.031826
304,Negative (Not Crack),0.026731
305,Negative (Not Crack),0.038394
306,Negative (Not Crack),0.095968
307,Negative (Not Crack),0.055804
308,Negative (Not Crack),0.033294
309,Negative (Not Crack),0.073963
310,Negative (Not Crack),0.072643
311,Negative (Not Crack),0.050458
312,Negative (Not Crack),0.063121
313,Negative (Not Crack),0.030628
314,Negative (Not Crack),0.111776
315,Negative (Not Crack),0.072248
316,Negative (Not Crack),0.029022
317,Positive(Crack) ,0.576549
318,Negative (Not Crack),0.043904
319,Negative (Not Crack),0.357728
320,Negative (Not Crack),0.057558
321,Negative (Not Crack),0.043533
322,Negative (Not Crack),0.057893
323,Negative (Not Crack),0.133994
324,Negative (Not Crack),0.040042
325,Negative (Not Crack),0.032791
326,Negative (Not Crack),0.06616
327,Negative (Not Crack),0.047327
328,Negative (Not Crack),0.061316
329,Negative (Not Crack),0.06242
330,Negative (Not Crack),0.059253
331,Negative (Not Crack),0.040905
332,Negative (Not Crack),0.099396
333,Negative (Not Crack),0.087644
334,Negative (Not Crack),0.034108
335,Negative (Not Crack),0.04226
336,Negative (Not Crack),0.063594
337,Negative (Not Crack),0.053006
338,Negative (Not Crack),0.107377
339,Negative (Not Crack),0.033241
340,Negative (Not Crack),0.051655
341,Negative (Not Crack),0.03425
342,Negative (Not Crack),0.037468
343,Negative (Not Crack),0.040898
344,Negative (Not Crack),0.037632
345,Negative (Not Crack),0.055296
346,Negative (Not Crack),0.037018
347,Negative (Not Crack),0.047054
348,Negative (Not Crack),0.040891
349,Negative (Not Crack),0.051768
350,Negative (Not Crack),0.041272
351,Negative (Not Crack),0.08233
352,Negative (Not Crack),0.111037
353,Negative (Not Crack),0.206343
354,Negative (Not Crack),0.086095
355,Negative (Not Crack),0.060284
356,Negative (Not Crack),0.07233
357,Negative (Not Crack),0.034256
358,Negative (Not Crack),0.037843
359,Negative (Not Crack),0.066049
360,Negative (Not Crack),0.248214
361,Negative (Not Crack),0.052504
362,Negative (Not Crack),0.036302
363,Negative (Not Crack),0.031081
364,Negative (Not Crack),0.073039
365,Negative (Not Crack),0.082457
366,Negative (Not Crack),0.047802
367,Negative (Not Crack),0.062701
368,Negative (Not Crack),0.03906
369,Negative (Not Crack),0.030877
370,Negative (Not Crack),0.057759
371,Negative (Not Crack),0.052747
372,Negative (Not Crack),0.053919
373,Negative (Not Crack),0.047865
374,Positive(Crack) ,0.506283
375,Negative (Not Crack),0.106345
376,Negative (Not Crack),0.055829
377,Negative (Not Crack),0.032393
378,Negative (Not Crack),0.037872
379,Negative (Not Crack),0.091657
380,Negative (Not Crack),0.02553
381,Negative (Not Crack),0.058366
382,Negative (Not Crack),0.060521
383,Negative (Not Crack),0.031458
384,Negative (Not Crack),0.350679
385,Negative (Not Crack),0.072582
386,Negative (Not Crack),0.037345
387,Negative (Not Crack),0.03708
388,Negative (Not Crack),0.032563
389,Negative (Not Crack),0.074639
390,Negative (Not Crack),0.048266
391,Negative (Not Crack),0.091659
392,Negative (Not Crack),0.047654
393,Negative (Not Crack),0.043373
394,Negative (Not Crack),0.062644
395,Negative (Not Crack),0.0696
396,Negative (Not Crack),0.042574
397,Negative (Not Crack),0.064841
398,Negative (Not Crack),0.041189
399,Negative (Not Crack),0.044287
400,Negative (Not Crack),0.099261
401,Negative (Not Crack),0.057814
402,Negative (Not Crack),0.058866
403,Negative (Not Crack),0.032016
404,Negative (Not Crack),0.073905
405,Negative (Not Crack),0.095249
406,Negative (Not Crack),0.048536
407,Negative (Not Crack),0.078014
408,Negative (Not Crack),0.037567
409,Negative (Not Crack),0.04854
410,Negative (Not Crack),0.032571
411,Negative (Not Crack),0.122523
412,Negative (Not Crack),0.099872
413,Negative (Not Crack),0.077983
414,Negative (Not Crack),0.038349
415,Negative (Not Crack),0.076666
416,Negative (Not Crack),0.03967
417,Negative (Not Crack),0.085527
418,Negative (Not Crack),0.180096
419,Negative (Not Crack),0.043462
420,Negative (Not Crack),0.054631
421,Negative (Not Crack),0.056082
422,Negative (Not Crack),0.070077
423,Negative (Not Crack),0.088709
424,Negative (Not Crack),0.040656
425,Negative (Not Crack),0.041259
426,Negative (Not Crack),0.320949
427,Negative (Not Crack),0.069836
428,Negative (Not Crack),0.059751
429,Negative (Not Crack),0.085891
430,Negative (Not Crack),0.040475
431,Positive(Crack) ,0.915477
432,Negative (Not Crack),0.060543
433,Negative (Not Crack),0.042239
434,Negative (Not Crack),0.136172
435,Negative (Not Crack),0.071029
436,Negative (Not Crack),0.039416
437,Negative (Not Crack),0.035648
438,Negative (Not Crack),0.052915
439,Negative (Not Crack),0.211503
440,Positive(Crack) ,0.607005
441,Negative (Not Crack),0.273242
442,Negative (Not Crack),0.037254
443,Negative (Not Crack),0.030576
444,Negative (Not Crack),0.039573
445,Negative (Not Crack),0.084564
446,Negative (Not Crack),0.071795
447,Negative (Not Crack),0.03005
448,Negative (Not Crack),0.031459
449,Negative (Not Crack),0.044118
450,Negative (Not Crack),0.220591
451,Negative (Not Crack),0.057116
452,Negative (Not Crack),0.03327
453,Negative (Not Crack),0.183633
454,Negative (Not Crack),0.073427
455,Negative (Not Crack),0.051365
456,Negative (Not Crack),0.072945
457,Negative (Not Crack),0.045998
458,Negative (Not Crack),0.043219
459,Negative (Not Crack),0.057645
460,Negative (Not Crack),0.052539
461,Negative (Not Crack),0.05477
462,Negative (Not Crack),0.040693
463,Negative (Not Crack),0.043337
464,Negative (Not Crack),0.047144
465,Negative (Not Crack),0.103404
466,Negative (Not Crack),0.027036
467,Negative (Not Crack),0.034038
468,Negative (Not Crack),0.042797
469,Negative (Not Crack),0.076943
470,Negative (Not Crack),0.040453
471,Negative (Not Crack),0.138525
472,Negative (Not Crack),0.058124
473,Negative (Not Crack),0.070732
474,Negative (Not Crack),0.06931
475,Negative (Not Crack),0.077031
476,Negative (Not Crack),0.059456
477,Negative (Not Crack),0.145921
478,Negative (Not Crack),0.045957
479,Negative (Not Crack),0.061832
480,Negative (Not Crack),0.056074
481,Negative (Not Crack),0.053513
482,Negative (Not Crack),0.055299
483,Negative (Not Crack),0.042686
484,Negative (Not Crack),0.038978
485,Negative (Not Crack),0.058151
486,Negative (Not Crack),0.078147
487,Negative (Not Crack),0.059338
488,Negative (Not Crack),0.060299
489,Negative (Not Crack),0.07268
490,Negative (Not Crack),0.051116
491,Negative (Not Crack),0.072808
492,Negative (Not Crack),0.063926
493,Negative (Not Crack),0.433042
494,Negative (Not Crack),0.071246
495,Negative (Not Crack),0.028242
496,Negative (Not Crack),0.059475
497,Negative (Not Crack),0.044525
498,Negative (Not Crack),0.038049
499,Negative (Not Crack),0.046934
500,Negative (Not Crack),0.047544
501,Negative (Not Crack),0.05453
502,Negative (Not Crack),0.174532
503,Negative (Not Crack),0.054015
504,Negative (Not Crack),0.11898
505,Negative (Not Crack),0.051245
506,Negative (Not Crack),0.047013
507,Negative (Not Crack),0.059887
508,Negative (Not Crack),0.059016
509,Negative (Not Crack),0.039605
510,Negative (Not Crack),0.037931
511,Negative (Not Crack),0.074443
512,Negative (Not Crack),0.071126
513,Negative (Not Crack),0.037615
514,Negative (Not Crack),0.043727
515,Negative (Not Crack),0.065907
516,Negative (Not Crack),0.025653
517,Negative (Not Crack),0.048812
518,Negative (Not Crack),0.091994
519,Negative (Not Crack),0.099545
520,Negative (Not Crack),0.039977
521,Negative (Not Crack),0.042104
522,Negative (Not Crack),0.04031
523,Negative (Not Crack),0.056551
524,Negative (Not Crack),0.074368
525,Negative (Not Crack),0.048096
526,Negative (Not Crack),0.036803
527,Negative (Not Crack),0.049487
528,Negative (Not Crack),0.106695
529,Negative (Not Crack),0.063643
530,Negative (Not Crack),0.066357
531,Negative (Not Crack),0.033115
532,Negative (Not Crack),0.119883
533,Negative (Not Crack),0.084964
534,Negative (Not Crack),0.077881
535,Negative (Not Crack),0.038075
536,Positive(Crack) ,0.92578
537,Negative (Not Crack),0.031972
538,Negative (Not Crack),0.053173
539,Negative (Not Crack),0.053896
540,Negative (Not Crack),0.032478
541,Negative (Not Crack),0.04996
542,Negative (Not Crack),0.038687
543,Negative (Not Crack),0.055893
544,Negative (Not Crack),0.057783
545,Negative (Not Crack),0.22544
546,Negative (Not Crack),0.054756
547,Negative (Not Crack),0.043132
548,Negative (Not Crack),0.046276
549,Negative (Not Crack),0.030417
550,Negative (Not Crack),0.052917
551,Negative (Not Crack),0.0597
552,Negative (Not Crack),0.115123
553,Negative (Not Crack),0.078349
554,Negative (Not Crack),0.045194
555,Negative (Not Crack),0.045396
556,Negative (Not Crack),0.033224
557,Negative (Not Crack),0.108168
558,Negative (Not Crack),0.042294
559,Negative (Not Crack),0.041976
560,Negative (Not Crack),0.097953
561,Negative (Not Crack),0.036126
562,Negative (Not Crack),0.10425
563,Negative (Not Crack),0.056332
564,Positive(Crack) ,0.987569
565,Negative (Not Crack),0.029595
566,Negative (Not Crack),0.076183
567,Negative (Not Crack),0.047816
568,Negative (Not Crack),0.052674
569,Negative (Not Crack),0.035342
570,Negative (Not Crack),0.039699
571,Negative (Not Crack),0.044802
572,Negative (Not Crack),0.032383
573,Negative (Not Crack),0.073122
574,Negative (Not Crack),0.048319
575,Negative (Not Crack),0.050408
576,Negative (Not Crack),0.063396
577,Negative (Not Crack),0.023525
578,Negative (Not Crack),0.044754
579,Negative (Not Crack),0.074343
580,Negative (Not Crack),0.040448
581,Negative (Not Crack),0.048417
582,Negative (Not Crack),0.078915
583,Negative (Not Crack),0.26433
584,Negative (Not Crack),0.159946
585,Negative (Not Crack),0.053965
586,Negative (Not Crack),0.06329
587,Negative (Not Crack),0.052889
588,Negative (Not Crack),0.08986
589,Negative (Not Crack),0.04293
590,Negative (Not Crack),0.064517
591,Negative (Not Crack),0.068499
592,Negative (Not Crack),0.050729
593,Negative (Not Crack),0.027905
594,Negative (Not Crack),0.033146
595,Negative (Not Crack),0.05895
596,Negative (Not Crack),0.047599
597,Negative (Not Crack),0.07577
598,Negative (Not Crack),0.047354
599,Negative (Not Crack),0.206264
600,Negative (Not Crack),0.050105
601,Negative (Not Crack),0.071918
602,Negative (Not Crack),0.066284
603,Negative (Not Crack),0.046089
604,Negative (Not Crack),0.094051
605,Negative (Not Crack),0.029705
606,Negative (Not Crack),0.052071
607,Negative (Not Crack),0.061425
608,Negative (Not Crack),0.174667
609,Negative (Not Crack),0.047555
610,Positive(Crack) ,0.686939
611,Negative (Not Crack),0.030376
612,Negative (Not Crack),0.065715
613,Negative (Not Crack),0.047574
614,Negative (Not Crack),0.056192
615,Negative (Not Crack),0.068437
616,Negative (Not Crack),0.112422
617,Negative (Not Crack),0.105887
618,Negative (Not Crack),0.052673
619,Negative (Not Crack),0.045202
620,Negative (Not Crack),0.062939
621,Negative (Not Crack),0.034635
622,Negative (Not Crack),0.042756
623,Negative (Not Crack),0.073301
624,Negative (Not Crack),0.047748
625,Negative (Not Crack),0.09022
626,Negative (Not Crack),0.064045
627,Negative (Not Crack),0.078991
628,Negative (Not Crack),0.059215
629,Negative (Not Crack),0.032865
630,Negative (Not Crack),0.063293
631,Negative (Not Crack),0.03806
632,Negative (Not Crack),0.10166
633,Negative (Not Crack),0.043605
634,Negative (Not Crack),0.041296
635,Negative (Not Crack),0.448418
636,Negative (Not Crack),0.044117
637,Negative (Not Crack),0.078631
638,Negative (Not Crack),0.071911
639,Negative (Not Crack),0.050516
640,Negative (Not Crack),0.059266
641,Negative (Not Crack),0.032089
642,Negative (Not Crack),0.051282
643,Negative (Not Crack),0.049032
644,Negative (Not Crack),0.047375
645,Negative (Not Crack),0.0383
646,Negative (Not Crack),0.046196
647,Negative (Not Crack),0.042826
648,Negative (Not Crack),0.060782
649,Negative (Not Crack),0.028555
650,Negative (Not Crack),0.090417
651,Negative (Not Crack),0.060621
652,Negative (Not Crack),0.040761
653,Negative (Not Crack),0.135761
654,Negative (Not Crack),0.036321
655,Negative (Not Crack),0.036071
656,Negative (Not Crack),0.052514
657,Negative (Not Crack),0.059875
658,Negative (Not Crack),0.053142
659,Negative (Not Crack),0.053728
660,Negative (Not Crack),0.057912
661,Negative (Not Crack),0.044547
662,Negative (Not Crack),0.034019
663,Negative (Not Crack),0.049306
664,Negative (Not Crack),0.090891
665,Negative (Not Crack),0.061612
666,Negative (Not Crack),0.113537
667,Negative (Not Crack),0.044162
668,Negative (Not Crack),0.032231
669,Negative (Not Crack),0.029906
670,Negative (Not Crack),0.035344
671,Negative (Not Crack),0.038647
672,Negative (Not Crack),0.119472
673,Negative (Not Crack),0.057938
674,Negative (Not Crack),0.093009
675,Negative (Not Crack),0.045363
676,Negative (Not Crack),0.449559
677,Negative (Not Crack),0.031529
678,Negative (Not Crack),0.029503
679,Negative (Not Crack),0.128113
680,Negative (Not Crack),0.045547
681,Negative (Not Crack),0.071626
682,Negative (Not Crack),0.045062
683,Negative (Not Crack),0.040347
684,Negative (Not Crack),0.028409
685,Negative (Not Crack),0.029717
686,Negative (Not Crack),0.04034
687,Negative (Not Crack),0.067174
688,Negative (Not Crack),0.045815
689,Negative (Not Crack),0.035691
690,Negative (Not Crack),0.057494
691,Negative (Not Crack),0.058193
692,Negative (Not Crack),0.054143
693,Negative (Not Crack),0.038616
694,Negative (Not Crack),0.037481
695,Negative (Not Crack),0.038813
696,Negative (Not Crack),0.072366
697,Negative (Not Crack),0.067267
698,Negative (Not Crack),0.052817
699,Negative (Not Crack),0.070267
700,Negative (Not Crack),0.067166
701,Negative (Not Crack),0.046198
702,Negative (Not Crack),0.041053
703,Negative (Not Crack),0.052855
704,Negative (Not Crack),0.073082
705,Negative (Not Crack),0.057579
706,Negative (Not Crack),0.077342
707,Negative (Not Crack),0.164265
708,Negative (Not Crack),0.043339
709,Negative (Not Crack),0.140137
710,Negative (Not Crack),0.086483
711,Negative (Not Crack),0.035895
712,Negative (Not Crack),0.069081
713,Negative (Not Crack),0.065779
714,Negative (Not Crack),0.046612
715,Negative (Not Crack),0.061454
716,Negative (Not Crack),0.031389
717,Negative (Not Crack),0.088052
718,Negative (Not Crack),0.049881
719,Negative (Not Crack),0.109396
720,Negative (Not Crack),0.058523
721,Negative (Not Crack),0.043311
722,Negative (Not Crack),0.047765
723,Negative (Not Crack),0.044551
724,Negative (Not Crack),0.129821
725,Negative (Not Crack),0.069988
726,Negative (Not Crack),0.040603
727,Negative (Not Crack),0.090422
728,Negative (Not Crack),0.053676
729,Negative (Not Crack),0.05453
730,Negative (Not Crack),0.071185
731,Negative (Not Crack),0.060763
732,Negative (Not Crack),0.037394
733,Negative (Not Crack),0.036651
734,Negative (Not Crack),0.040408
735,Negative (Not Crack),0.077846
736,Negative (Not Crack),0.062917
737,Negative (Not Crack),0.053779
738,Negative (Not Crack),0.036562
739,Negative (Not Crack),0.210476
740,Negative (Not Crack),0.053617
741,Positive(Crack) ,0.934547
742,Negative (Not Crack),0.046188
743,Negative (Not Crack),0.031213
744,Negative (Not Crack),0.036403
745,Negative (Not Crack),0.062825
746,Negative (Not Crack),0.034328
747,Negative (Not Crack),0.057204
748,Negative (Not Crack),0.060744
749,Negative (Not Crack),0.047293
750,Negative (Not Crack),0.103957
751,Negative (Not Crack),0.05173
752,Negative (Not Crack),0.042916
753,Negative (Not Crack),0.059418
754,Negative (Not Crack),0.03429
755,Negative (Not Crack),0.031832
756,Negative (Not Crack),0.044848
757,Negative (Not Crack),0.051495
758,Negative (Not Crack),0.030217
759,Negative (Not Crack),0.041076
760,Negative (Not Crack),0.032018
761,Negative (Not Crack),0.049033
762,Negative (Not Crack),0.051365
763,Negative (Not Crack),0.055848
764,Negative (Not Crack),0.040963
765,Negative (Not Crack),0.175444
766,Negative (Not Crack),0.042216
767,Negative (Not Crack),0.048711
768,Negative (Not Crack),0.146256
769,Negative (Not Crack),0.096494
770,Negative (Not Crack),0.04864
771,Negative (Not Crack),0.051243
772,Negative (Not Crack),0.018922
773,Negative (Not Crack),0.437916
774,Negative (Not Crack),0.043157
775,Negative (Not Crack),0.048912
776,Negative (Not Crack),0.089196
777,Negative (Not Crack),0.030747
778,Negative (Not Crack),0.057939
779,Negative (Not Crack),0.07702
780,Negative (Not Crack),0.169867
781,Negative (Not Crack),0.035039
782,Negative (Not Crack),0.252759
783,Negative (Not Crack),0.196011
784,Negative (Not Crack),0.037543
785,Negative (Not Crack),0.083604
786,Negative (Not Crack),0.048536
787,Negative (Not Crack),0.043746
788,Negative (Not Crack),0.042426
789,Negative (Not Crack),0.17545
790,Negative (Not Crack),0.063799
791,Negative (Not Crack),0.092764
792,Negative (Not Crack),0.061121
793,Negative (Not Crack),0.050385
794,Negative (Not Crack),0.240813
795,Negative (Not Crack),0.049344
796,Negative (Not Crack),0.05853
797,Negative (Not Crack),0.128993
798,Negative (Not Crack),0.045432
799,Negative (Not Crack),0.041813
800,Negative (Not Crack),0.031473
801,Negative (Not Crack),0.050682
802,Negative (Not Crack),0.049915
803,Negative (Not Crack),0.053005
804,Negative (Not Crack),0.034676
805,Negative (Not Crack),0.043037
806,Negative (Not Crack),0.140338
807,Negative (Not Crack),0.057745
808,Negative (Not Crack),0.064707
809,Negative (Not Crack),0.070928
810,Negative (Not Crack),0.064674
811,Positive(Crack) ,0.511954
812,Negative (Not Crack),0.045085
813,Negative (Not Crack),0.065687
814,Negative (Not Crack),0.042843
815,Negative (Not Crack),0.075279
816,Negative (Not Crack),0.043144
817,Negative (Not Crack),0.062243
818,Negative (Not Crack),0.062526
819,Negative (Not Crack),0.041573
820,Negative (Not Crack),0.044791
